Index;Region;Births minus Deaths (INT);Births (INT);Total Deaths (INT);Population Growth Rate (INT);Total Population as of 1 January (INT);Sex Ratio at Birth (males per 100 female births) INT;Male Deaths (INT);Female Deaths (INT);Male Births (INT);Female Births (INT);Median Age as of 1 July (years) INT;Mortality before Age 40 both sexes (deaths under age 40) INT;Population Change (INT);Year
66;WORLD;86715047;142608081;55893034;8623624;7383240040;106;30032499;25860535;72825668,724270001;69782412,275729999;28;91838;86714993;2015
67;WORLD;87038285;143238900;56200615;8650207;7469955033;106;30267320;25933295;73147809,062999994;70091090,937000006;29;89569;87038410;2016
68;WORLD;85658158;142624116;56965958;8516731;7556993443;106;30752012;26213946;72832431,076560006;69791684,923439994;29;87510;85657921;2017
69;WORLD;82277038;139628713;57351675;8185279;7642651364;106;30909237;26442438;71298609,719190001;68330103,280809999;29;85964;82276928;2018
70;WORLD;80045723;137984248;57938525;7964401;7724928292;106;31242334;26696191;70457516,713760003;67526731,286239997;29;84539;80045481;2019
71;WORLD;71958294;135132602;63174308;7164965;7804973773;105;34316609;28857699;68997355,255180001;66135246,744819999;30;83691;71958214;2020
72;WORLD;64726542;133974696;69248154;6443330;7876931987;105;37524842;31723312;68404800,283680007;65569895,716319993;30;86587;64726329;2021
16558;Belize;6110;7798;1688;739;356136;105;1038;650;3981,03496;3816,96504;23;51478;7470;2015
16559;Belize;6110;7832;1722;733;363606;105;1057;665;3998,39264;3833,60736;23;49274;7413;2016
16560;Belize;6142;7905;1763;727;371019;105;1082;681;4035,6606000000002;3869,3393999999998;24;47269;7349;2017
16561;Belize;6210;8018,0000000000009;1808;732;378368;105;1111;697;4093,3493600000006;3924,6506400000003;24;45302;7396;2018
16562;Belize;5498;7333;1835;660;385764;105;1127;708;3743,6431600000001;3589,3568399999999;24;43121;6662;2019
16563;Belize;4989;7060;2071;495;392426;105;1284;787;3604,2712000000001;3455,7287999999999;25;70005;4989;2020
16564;Belize;4646;7186;2540;519;397415;105;1563;977;3668,52486;3517,47514;25;77501;5232;2021
16630;Costa Rica;46424;71053;24629;5025;4869993;104;13804;10825;36269,714379999998;34783,285620000002;30;26476;50498;2015
16631;Costa Rica;45272;69914;24642;4920;4920491;104;13902;10740;35686,902159999998;34227,097840000002;31;25218;49428;2016
16632;Costa Rica;43656;69512;25856;4761;4969919;104;14356;11500;35482,400399999999;34029,599600000001;31;24627;47845;2017
16633;Costa Rica;41748;68327;26579;4571;5017764;104;15019;11560;34876,833879999998;33450,166120000002;31;23752;45940;2018
16634;Costa Rica;37496;65282;27786;4147;5063704;104;15573;12214;33321,891259999997;31960,108740000003;32;23123;41655;2019
16635;Costa Rica;33413;62230;28817;3538;5105359;104;16167,000000000002;12650;31764,681199999999;30465,318800000001;32;30463;35492;2020
16636;Costa Rica;24121;61176;37055;2616;5140851;104;20717;16337;31226,677439999999;29949,322560000001;33;34765;26212;2021
16702;El Salvador;70923;115153;44230;1959;6221248;105;25337;18892;58794,818740000002;56358,181259999998;24;91376;19636;2015
16703;El Salvador;66748;110186;43438;1922;6240884;105;25256;18181;56252,156719999999;53933,843280000001;24;93044;19252;2016
16704;El Salvador;63652;106787;43135;1302;6260136;105;25224;17911;54514,763500000001;52272,236499999999;25;91878;13037;2017
16705;El Salvador;60495;104224;43729;633;6273173;104;25187;18542;53204,267520000001;51019,732479999999;25;84486;6339;2018
16706;El Salvador;56548;103547;46999;138;6279512;104;25924;21075;52858,672559999999;50688,327440000001;25;70379;1410;2019
16707;El Salvador;48836;102067;53231;2355;6280922;104;29292;23939;52103,16216;49963,83784;26;72591;23618;2020
16708;El Salvador;46602;101405;54803;1922;6304540;104;29992;24811;51765,224399999999;49639,775600000001;26;74575;19255;2021
16774;Guatemala;332763;414042;81279;28212;15858805;103;46237;35042;211306,33470000001;202735,66529999999;20;83579;284604;2015
16775;Guatemala;334452;416628;82176;29251;16143409;103;46654;35521;212630,26608;203997,73392;20;80770;295189;2016
16776;Guatemala;328305;411557;83252;27781;16438598,000000002;103;47073;36179;210046,34609000001;201510,65390999999;21;78691;280250;2017
16777;Guatemala;319545;403834;84289;26064;16718848,000000002;103;47281;37008;206104,75857999999;197729,24142000001;21;76929;262655;2018
16778;Guatemala;307768;391582;83814;24792;16981503;103;46550;37264;199855,62116000001;191726,37883999999;21;72914;249669;2019
16779;Guatemala;286228;378935;92707;26105;17231172;103;53998;38709;193400,84529999999;185534,15470000001;22;68133;263093;2020
16780;Guatemala;257548,99999999997;372146;114597;22690;17494265;103;65206,999999999993;49390;189939,59693999999;182206,40306000001;22;75906;228437;2021
16846;Honduras;172981;211541;38560;16497;9211268;105;21784;16776;107998,02673;103542,97327;21;51974;166475;2015
16847;Honduras;172801;212388;39587;16467;9377743;105;22343;17244;108430,44564000001;103957,55435999999;22;51310;166109;2016
16848;Honduras;172761;213413;40652;16453;9543852;105;22952;17700;108951,60476;104461,39524;22;50561;165980;2017
16849;Honduras;172795;214499;41704;16467;9709832;105;23559;18145;109506,02948;104992,97052;22;49721;166036;2018
16850;Honduras;172477;215469;42992;16453;9875868;105;24256;18736;109999,07919;105469,92081;23;49505;165922;2019
16851;Honduras;166144;216208;50064;15866;10041790;105;28239;21826;110376,34608;105831,65392;23;49304;159946;2020
16852;Honduras;158991;216645;57654;15210;10201736;105;32161;25493;110599,43895;106045,56105;23;53345;153219;2021
16918;Mexico;1437370;2159314;721944;134764;119472303;103;406562;315383;1102092,2724599999;1057221,7275400001;27;55731;1355188;2015
16919;Mexico;1350359;2116264;765905;137501;120827491;103;430794;335111;1080119,9829599999;1036144,0170400001;27;57029;1383461;2016
16920;Mexico;1269050;2081547,9999999998;812498;125021;122210952;103;457319;355179;1062401,2837199999;1019146,7162799998;28;58833;1256611;2017
16921;Mexico;1192027;2042458;850431;108774;123467563;103;479796;370635;1042450,13862;1000007,86138;28;60168;1092597;2018
16922;Mexico;1098065;1965139;867074;104630;124560160;103;491736;375338;1002987,29421;962151,70579000004;28;59915;1050301;2019
16923;Mexico;785631;1961267;1175636;77376;125610461;103;690814;484821;1001011,06413;960255,93587000004;29;64426;775681;2020
16924;Mexico;690644;1882362;1191718;63698;126386142;103;713518;478200;960738,74118000001;921623,25881999999;29;63263;637992;2021
16990;Nicaragua;114621;143872;29251;8961;6253467;103;16379,999999999998;12871;73425,075200000007;70446,924799999993;23;59986;90262;2015
16991;Nicaragua;114099;143755;29656;9033;6343729;103;16526;13129;73365,364249999999;70389,635750000001;23;58464;91012;2016
16992;Nicaragua;113416;143399;29983;9092;6434741;103;16662;13321;73183,679650000005;70215,320349999995;23;57206;91581;2017
16993;Nicaragua;112557;142870;30313;9117;6526322;103;16881;13432;72913,704500000007;69956,295499999993;24;55821;91821;2018
16994;Nicaragua;111306;142181;30875;9093;6618143;103;17339;13536;72562,073350000006;69618,926649999994;24;54683;91562;2019
16995;Nicaragua;102769;141324;38555;9172;6709705;103;21787;16768;72124,703399999999;69199,296600000001;24;55288;92381;2020
16996;Nicaragua;107281;140589;33308;9624;6802086;103;18666;14642;71749,596149999998;68839,403850000002;25;50329;96908;2021
17062;Panama;60227;79495;19268;6825;3922664;105;10990;8278;40588,557099999998;38906,442900000002;27;57861;68869;2015
17063;Panama;59500;79220;19720;6901;3991533;106;11259;8461;40450,5242;38769,4758;27;56900;69607;2016
17064;Panama;58780;79014;20234;6924;4061140;106;11565;8670;40346,128680000002;38667,871319999998;28;56802;69846;2017
17065;Panama;57406;78255;20849;6795;4130986;106;11908;8941;39957,785550000001;38297,214449999999;28;58126;68537;2018
17066;Panama;55403;77044;21641;6551;4199523;105;12302;9339;39337,895960000002;37706,104039999998;28;61782;66018;2019
17067;Panama;52236;76898;24662;5732;4265541;105;14154;10508;39261,811860000002;37636,188139999998;29;58968;57711;2020
17068;Panama;50551;76933;26382;5568;4323252;105;15055;11326;39278,912479999999;37654,087520000001;29;59167;56030;2021
17206;Argentina;424025;750290;326265;42740;43042287;105;171986;154279;383075,56530000002;367214,43469999998;30;34813;429557;2015
17207;Argentina;387594;734548;346954;39124;43471844;105;181225;165730;375030,82688000001;359517,17311999999;30;34963;392795;2016
17208;Argentina;375019;713799;338780;37811;43864639;105;175852;162928;364415,80346999998;349383,19653000002;30;33291;379954;2017
17209;Argentina;333327;674273;340946;33670;44244593;105;178069;162876;344236,59469;330036,40531;31;32381,999999999996;338006;2018
17210;Argentina;321352;661385;340033;32456;44582599;105;178586;161447;337650,27020000003;323734,72979999997;31;31317;325842;2019
17211;Argentina;252847;635978;383131;25463;44908441;105;202693;180438;324679,48856000003;311298,51143999997;31;36942;255182;2020
17212;Argentina;223963;629391;405428;22581;45163623;105;212609;192819;321316,69332000002;308074,30667999998;31;39096;226314;2021
17350;Brazil;1702016;3021946;1319930;170006;204334810;104;737466;582464;1542552,3356999999;1479393,6643000001;30;53295;1706790;2015
17351;Brazil;1553378;2905301;1351923;162978;206041600;104;763529;588395;1483010,89545;1422290,10455;31;51950;1635956;2016
17352;Brazil;1598439;2952133;1353694;164895;207677556;104;753573;600120;1506916,2898500001;1445216,7101499999;31;49801;1654808;2017
17353;Brazil;1600526;2969862;1369336;166209;209332364;104;759636;609701;1515966,0578999999;1453895,9421000001;32;47817;1668457;2018
17354;Brazil;1494923;2886359;1391436;155929;211000821;104;770531;620904;1473341,9515499999;1413017,0484500001;32;45991;1564114;2019
17355;Brazil;1205864;2787294;1581430;125838;212564935;104;872334;709097;1422774,2223;1364519,7777;32;55910;1262737;2020
17356;Brazil;976719;2760958;1784239;99429;213827672;104;977027;807212;1409331,0111;1351626,9889;33;59216;997102;2021
17422;Chile;126500;235699;109199;18134;17779025;104;58036;51163;120300,7696;115398,2304;33;28154;182198;2015
17423;Chile;118791;228821;110030;24373;17961223;103;57842;52188;116783,37377000001;112037,62622999999;34;27543;245313;2016
17424;Chile;109378;221468;112090;32116;18206536;103;57399;54691;113035,05252;108432,94748;34;26365;324082;2017
17425;Chile;104306;221872;117566;33855;18530618;104;60968;56599;113243,4688;108628,5312;34;28178;341665;2018
17426;Chile;104250;224350;120100;33139;18872283;104;62342;57758;114510,4835;109839,5165;34;27509;334405;2019
17427;Chile;88800;227821;139021;18630;19206688;104;73645;65375;116282,11661;111538,88339;35;26122;187253;2020
17428;Chile;84790;229116;144326;19743;19393941;104;75524;68801;116945,38872;112170,61128;35;27835;198487;2021
18358;Canada;106890;371094;264204;33784;35562312;105;133408;130795,99999999999;189447,19794000001;181646,80205999999;40;20990;339628;2015
18359;Canada;102688;369376;266688;42077;35901940;105;135533;131155;188573,83551999999;180802,16448000001;40;21879;423184;2016
18360;Canada;97177;373611;276434;45551;36325124;105;140858;135575;190747,09604999999;182863,90395000001;40;22802;458447;2017
18361;Canada;85383;369002;283619;49988;36783571;105;144291;139327;188382,90104;180619,09896;40;22964;503366;2018
